source,managerCik,managerName,reportCalendarOrQuarter,cusip6,cusip,companyName,value,shares
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,00206R,00206R102,AT&T INC,359436000.0,18672
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,002824,002824100,ABBOTT LABS,1421690000.0,14040
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,00287Y,00287Y109,ABBVIE INC,2676619000.0,16795
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,02209S,02209S103,ALTRIA GROUP INC,227785000.0,5105
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,023135,023135106,AMAZON COM INC,1102621000.0,10675
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,03027X,03027X100,AMERICAN TOWER CORP NEW,2805793000.0,13731
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,031162,031162100,AMGEN INC,2581701000.0,10679
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,037833,037833100,APPLE INC,7192149000.0,43617
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,064058,064058100,BANK NEW YORK MELLON CORP,1990272000.0,43800
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,09247X,09247X101,BLACKROCK INC,2076948000.0,3104
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,110122,110122108,BRISTOL-MYERS SQUIBB CO,3069532000.0,44287
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,11135E,11135E203,BROADSTONE NET LEASE INC,356155000.0,20938
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,117043,117043109,BRUNSWICK CORP,941934000.0,11487
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,125523,125523100,THE CIGNA GROUP,1802253000.0,7053
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,126408,126408103,CSX CORP,3102832000.0,103635
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,126650,126650100,CVS HEALTH CORP,947750000.0,12754
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,166764,166764100,CHEVRON CORP NEW,484585000.0,2970
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,17275R,17275R102,CISCO SYS INC,560365000.0,10720
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,172908,172908105,CINTAS CORP,14675747000.0,31719
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,191216,191216100,COCA COLA CO,1363061000.0,21974
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,205887,205887102,CONAGRA BRANDS INC,2521703000.0,67138
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,20825C,20825C104,CONOCOPHILLIPS,544861000.0,5492
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,217204,217204106,COPART INC,601680000.0,8000
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,22160K,22160K105,COSTCO WHSL CORP NEW,430175000.0,866
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,229663,229663109,CUBESMART,2001788000.0,43310
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,235851,235851102,DANAHER CORPORATION,937589000.0,3720
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,252784,252784301,DIAMONDROCK HOSPITALITY CO,186608000.0,22953
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,254687,254687106,DISNEY WALT CO,207307000.0,2070
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,291011,291011104,EMERSON ELEC CO,510902000.0,5863
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,30231G,30231G102,EXXON MOBIL CORP,3598160000.0,32812
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,302635,302635206,FS KKR CAP CORP,451382000.0,24399
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,31428X,31428X106,FEDEX CORP,3127514000.0,13688
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,31620M,31620M106,FIDELITY NATL INFORMATION SV,1188414000.0,21874
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,354613,354613101,FRANKLIN RESOURCES INC,1341235000.0,49786
https://sec.gov/Archives/edgar/data/1049662/0001213900-23-050627.txt,0001049662,GRIES FINANCIAL LLC,2023-03-31,375558,375558103,GILEAD SCIENCES INC,645178000.0,7776
